key,total,Affect Version,Percent
AMQCLI,0,0,NaN
BLAZE,0,0,NaN
ALOIS,0,0,NaN
ARMI,0,0,NaN
AMBER,0,0,NaN
ANNO,0,0,NaN
STATISTICS,0,0,NaN
CONCERTED,0,0,NaN
DUBBO,0,0,NaN
HUDI,0,0,NaN
CLOWNFISH,0,0,NaN
MXNET,0,0,NaN
OPENAZ,0,0,NaN
SDAP,0,0,NaN
TAVERNA,0,0,NaN
TENTACLES,0,0,NaN
AVNSHARP,0,0,NaN
TRANSPORTS,0,0,NaN
TM,0,0,NaN
CASSANDRA,0,0,NaN
LAUNCHER,0,0,NaN
PRIMITIVES,0,0,NaN
RESOURCES,0,0,NaN
SANSELAN,0,0,NaN
COTTON,0,0,NaN
DEPOT,0,0,NaN
DIRGROOVY,0,0,NaN
DBF,0,0,NaN
DVSL,0,0,NaN
ECS,0,0,NaN
ESCIMO,0,0,NaN
EWS,0,0,NaN
GOSSIP,0,0,NaN
GSHELL,0,0,NaN
SUBMARINE,0,0,NaN
HERALDRY,0,0,NaN
HTRACE,0,0,NaN
RBATIS,0,0,NaN
INFRATEST3,0,0,NaN
INFRATEST4,0,0,NaN
JCRBENCH,0,0,NaN
JCRCL,0,0,NaN
JCRSERVLET,0,0,NaN
JCRTCK,0,0,NaN
JCRRMI,0,0,NaN
OCM,0,0,NaN
JSEC,0,0,NaN
KALUMET,0,0,NaN
KAND,0,0,NaN
KATO,0,0,NaN
KI,0,0,NaN
HTTPDRAFT,0,0,NaN
LEGAL,0,0,NaN
LOKAHI,0,0,NaN
LCN4C,0,0,NaN
MJDEPRSCAN,0,0,NaN
MSCRIPTING,0,0,NaN
MESOS,0,0,NaN
METRON,0,0,NaN
MILAGRO,0,0,NaN
MIRAE,0,0,NaN
ADFFACES,0,0,NaN
MFHTML5,0,0,NaN
MYNEWT,0,0,NaN
MYNEWTDOC,0,0,NaN
NEETHI,0,0,NaN
NUVEM,0,0,NaN
JACOB,0,0,NaN
ORP,0,0,NaN
PODLINGNAMESEARCH,0,0,NaN
PULSAR,0,0,NaN
S2GRAPH,0,0,NaN
SAMOA,0,0,NaN
SAND,0,0,NaN
TESTY,0,0,NaN
TEVAL,0,0,NaN
TILESSHOW,0,0,NaN
TATPI,0,0,NaN
TRIPLES,0,0,NaN
TSIK,0,0,NaN
WADI,0,0,NaN
YOKO,0,0,NaN
AMATERASU,1,1,1
PNIX,3,3,1
CLOUDSTACK,2,2,1
ATTRIBUTES,4,4,1
EL,4,4,1
JXPATH,17,17,1
HISE,1,1,1
HTTPASYNC,9,9,1
JDKIM,4,4,1
LUCY,1,1,1
CONNECTORS,6,6,1
MJLINK,6,6,1
MJMOD,2,2,1
MPATCH,3,3,1
MTOOLCHAINS,3,3,1
MAVIBOT,7,7,1
APA,5,5,1
PRC,1,1,1
RATIS,1,1,1
SMX4NMR,2,2,1
SOAP,102,102,1
XERCESP,9,9,1
XMLCOMMONS,5,5,1
FLEX,26332,26294,0.998556889
SVN,2739,2731,0.997079226
STR,1829,1805,0.986878075
MODPYTHON,105,103,0.980952381
COCOON,1474,1439,0.976255088
TAPESTRY,683,665,0.973645681
XERCESJ,178,173,0.971910112
FOP,1723,1669,0.968659315
HIVEMIND,50,48,0.96
EXTVAL,21,20,0.952380952
PLUTO,322,306,0.950310559
RAMPARTC,19,18,0.947368421
BATIK,66,62,0.939393939
TILES,230,216,0.939130435
MPDF,32,30,0.9375
PORTLETBRIDGE,16,15,0.9375
XMLRPC,142,133,0.936619718
SYNCOPE,716,670,0.93575419
TAP5,1092,1020,0.934065934
VELOCITY,431,402,0.932714617
MUSE,97,90,0.927835052
JS1,26,24,0.923076923
MREPOSITORY,13,12,0.923076923
XALANJ,77,71,0.922077922
RUNTIME,24,22,0.916666667
AMQCPP,143,131,0.916083916
JSPWIKI,318,291,0.91509434
XERCESC,1476,1349,0.91395664
JS2,597,545,0.912897822
DAYTRADER,34,31,0.911764706
AMQ,1286,1169,0.909020218
XALANC,171,155,0.906432749
QPIDJMS,181,164,0.906077348
MODELER,21,19,0.904761905
SENSSOFT,21,19,0.904761905
WICKET,607,549,0.904448105
MSHADE,144,130,0.902777778
IVYDE,10,9,0.9
MGPG,20,18,0.9
DIRSTUDIO,418,376,0.899521531
WW,2708,2435,0.899187592
DERBY,3503,3142,0.896945475
ONAMI,29,26,0.896551724
BEEHIVE,771,690,0.894941634
GUACAMOLE,63,56,0.888888889
MLINKCHECK,9,8,0.888888889
SSHD,27,24,0.888888889
DIRMINA,408,362,0.887254902
PB,17,15,0.882352941
BVAL,92,81,0.880434783
CAY,1060,932,0.879245283
SANTUARIO,65,57,0.876923077
XMLBEANS,135,118,0.874074074
ESME,71,62,0.873239437
MTOMCAT,126,110,0.873015873
OLINGO,478,417,0.872384937
DELTASPIKE,387,337,0.870801034
RAT,23,20,0.869565217
BLUR,175,152,0.868571429
OPENMEETINGS,1352,1173,0.86760355
MYFACES,2251,1947,0.864948912
CONFIGURATION,286,247,0.863636364
ODFTOOLKIT,165,142,0.860606061
IVY,143,123,0.86013986
DIRAPI,100,86,0.86
MIME4J,50,43,0.86
CAMEL,1491,1282,0.85982562
CODEC,99,85,0.858585859
LOG4J2,557,478,0.858168761
MANT,35,30,0.857142857
MJARSIGNER,14,12,0.857142857
RIVER,49,42,0.857142857
TORQUE,139,119,0.856115108
MPIR,187,160,0.855614973
MDEP,277,237,0.855595668
BUILDR,398,340,0.854271357
MRQL,20,17,0.85
OPENEJB,413,351,0.849878935
PDFBOX,3042,2581,0.848454964
LOG4NET,79,67,0.848101266
MINVOKER,72,61,0.847222222
APLO,13,11,0.846153846
DIRECTMEMORY,13,11,0.846153846
SHALE,13,11,0.846153846
ISIS,465,392,0.843010753
NET,398,333,0.836683417
TRINIDAD,1035,865,0.835748792
FOR,365,305,0.835616438
SPARK,1223,1020,0.834014718
CXFXJC,6,5,0.833333333
TAMAYA,30,25,0.833333333
GROOVY,5145,4278,0.83148688
MRM,1012,840,0.830039526
TIKA,334,277,0.829341317
OFBIZ,3724,3087,0.828947368
HTTPCLIENT,1144,947,0.827797203
VCL,29,24,0.827586207
EXTCDI,75,62,0.826666667
BIGTOP,771,637,0.826199741
TOBAGO,841,693,0.824019025
IBATIS,374,308,0.823529412
MEJB,34,28,0.823529412
OJB,34,28,0.823529412
JCLOUDS,128,105,0.8203125
OPENJPA,1167,957,0.820051414
CXF,4639,3792,0.817417547
MASSEMBLY,557,455,0.816876122
MSOURCES,38,31,0.815789474
MNG,2977,2420,0.812898892
OWB,716,580,0.810055866
STDCXX,431,349,0.80974478
COLLECTIONS,310,251,0.809677419
CONTINUUM,1356,1095,0.807522124
DOXIA,285,230,0.807017544
DIRSHARED,51,41,0.803921569
SCM,509,409,0.803536346
ANY23,76,61,0.802631579
MPMD,116,93,0.801724138
TAJO,5,4,0.8
HTTPCORE,214,171,0.799065421
MRESOURCES,118,94,0.796610169
FILEUPLOAD,162,129,0.796296296
MSKINS,49,39,0.795918367
DIGESTER,96,76,0.791666667
PHOTARK,24,19,0.791666667
MPH,52,41,0.788461538
NUTCH,709,556,0.784203103
COCOON3,37,29,0.783783784
MRELEASE,625,489,0.7824
DISPATCH,680,532,0.782352941
MAHOUT,707,553,0.782178218
IMPALA,165,129,0.781818182
MCHANGES,160,125,0.78125
ODE,146,114,0.780821918
JEXL,91,71,0.78021978
BEANUTILS,241,188,0.780082988
MWAR,209,163,0.779904306
MJAVADOC,363,283,0.779614325
MANTTASKS,167,130,0.778443114
HDFS,1885,1463,0.776127321
EMAIL,98,76,0.775510204
MCHECKSTYLE,177,137,0.774011299
FEDIZ,53,41,0.773584906
DIRSERVER,921,712,0.773072747
MENFORCER,114,88,0.771929825
MINSTALL,57,44,0.771929825
MARMOTTA,219,169,0.771689498
MAPREDUCE,1661,1281,0.771222155
FELIX,2326,1785,0.767411866
EMPIREDB,73,56,0.767123288
ASYNCWEB,17,13,0.764705882
SUREFIRE,962,735,0.764033264
IO,219,167,0.762557078
ORCHESTRA,21,16,0.761904762
QPID,4217,3207,0.760493242
MPOM,25,19,0.76
MCLEAN,29,22,0.75862069
DOXIASITETOOLS,58,44,0.75862069
FLUME,239,181,0.757322176
LOGGING,111,84,0.756756757
MJAR,115,87,0.756521739
KARAF,475,359,0.755789474
ARTEMIS,966,730,0.755693582
MECLIPSE,471,355,0.753715499
MPLUGIN,165,124,0.751515152
S4,4,3,0.75
LIVY,4,3,0.75
MINDEXER,40,30,0.75
MSITE,468,351,0.75
SMXCOMP,8,6,0.75
GERONIMODEVTOOLS,217,162,0.746543779
PROTON,1065,794,0.745539906
TUSCANY,2121,1579,0.74446016
KAFKA,408,303,0.742647059
TINKERPOP,540,401,0.742592593
SYNAPSE,93,69,0.741935484
DBCP,329,244,0.741641337
WINK,147,109,0.741496599
CHAIN,23,17,0.739130435
POOL,180,133,0.738888889
JENA,845,622,0.736094675
MDEPLOY,121,89,0.73553719
SCOUT,102,75,0.735294118
TC,162,119,0.734567901
SIS,67,49,0.731343284
CLI,144,105,0.729166667
MRRESOURCES,48,35,0.729166667
VALIDATOR,210,153,0.728571429
LANG,585,426,0.728205128
DBUTILS,44,32,0.727272727
PIVOT,44,32,0.727272727
CURATOR,72,52,0.722222222
JSPF,18,13,0.722222222
MEAR,107,77,0.719626168
ROL,1296,932,0.719135802
BCEL,110,79,0.718181818
JAXME,60,43,0.716666667
SCXML,67,48,0.71641791
ARCHETYPE,260,186,0.715384615
TOMAHAWK,848,606,0.714622642
WSIF,7,5,0.714285714
JCS,105,75,0.714285714
WEAVER,7,5,0.714285714
LABS,14,10,0.714285714
MRESOLVER,14,10,0.714285714
MVERIFIER,7,5,0.714285714
XBEAN,126,90,0.714285714
SHIRO,150,107,0.713333333
HCATALOG,207,147,0.710144928
MCOMPILER,213,151,0.708920188
TEXT,24,17,0.708333333
VFS,216,153,0.708333333
IBATISNET,125,88,0.704
FTPSERVER,204,143,0.700980392
ZOOKEEPER,667,467,0.700149925
KNOX,46,32,0.695652174
HADOOP,3835,2660,0.693611473
NETBEANS,202,140,0.693069307
SM,342,237,0.692982456
JUNEAU,26,18,0.692307692
MDOAP,16,11,0.6875
AXIS2C,361,247,0.684210526
ETCH,44,30,0.681818182
JXR,66,45,0.681818182
EXTSCRIPT,66,45,0.681818182
OODT,25,17,0.68
MSHARED,240,163,0.679166667
EAGLE,139,94,0.676258993
DAEMON,92,62,0.673913043
BATCHEE,55,37,0.672727273
WAGON,317,213,0.67192429
CMIS,64,43,0.671875
XW,289,194,0.671280277
SLING,2491,1668,0.669610598
ACCUMULO,3,2,0.666666667
RNG,6,4,0.666666667
CTAKES,51,34,0.666666667
MACR,3,2,0.666666667
MNEMONIC,75,50,0.666666667
STONEHENGE,12,8,0.666666667
CARBONDATA,251,167,0.665338645
MATH,567,377,0.664902998
AVRO,580,381,0.656896552
OGNL,29,19,0.655172414
MANTRUN,113,74,0.654867257
YARN,871,570,0.654420207
SOLR,2757,1802,0.653608995
AXISCPP,712,458,0.643258427
JCR,1775,1138,0.641126761
IGNITE,1749,1118,0.639222413
MCHANGELOG,72,46,0.638888889
LOG4PHP,94,60,0.638297872
GERONIMO,352,224,0.636363636
ROCKETMQ,92,58,0.630434783
PIO,35,22,0.628571429
FREEMARKER,43,27,0.627906977
DISCOVERY,8,5,0.625
CB,7679,4785,0.623128011
MEECROWAVE,53,33,0.622641509
GORA,81,50,0.617283951
PIG,2073,1278,0.616497829
THRIFT,2318,1426,0.615185505
JOHNZON,75,46,0.613333333
SMX4,33,20,0.606060606
RAVE,157,95,0.605095541
MASFRES,5,3,0.6
BETWIXT,5,3,0.6
LOGCXX,30,18,0.6
DOSGI,119,71,0.596638655
NIFI,47,28,0.595744681
WSS,326,193,0.59202454
AMQNET,191,113,0.591623037
JCRVLT,127,75,0.590551181
STORM,147,86,0.585034014
JSIEVE,12,7,0.583333333
JUDDI,524,305,0.582061069
AXIS,329,190,0.577507599
ZEPPELIN,298,172,0.577181208
FALCON,175,101,0.577142857
FLINK,3160,1822,0.576582278
DRILL,1298,747,0.57550077
CACTUS,128,73,0.5703125
AIRAVATA,820,466,0.568292683
STRATOS,69,39,0.565217391
MRAR,16,9,0.5625
KUDU,25,14,0.56
VELTOOLS,84,47,0.55952381
JAMES,696,388,0.557471264
FC,9,5,0.555555556
MFCOMMONS,18,10,0.555555556
MSTAGE,11,6,0.545454545
IMAP,24,13,0.541666667
CRUNCH,301,161,0.534883721
MYFACESTEST,17,9,0.529411765
HBASE,5187,2728,0.52593021
OPENNLP,316,165,0.522151899
HIVE,5334,2742,0.514060742
KYLIN,1570,800,0.50955414
AXIS2,381,193,0.50656168
MINIFI,2,1,0.5
CRYPTO,2,1,0.5
DMAP,10,5,0.5
EASYANT,6,3,0.5
GBUILD,2,1,0.5
HDT,4,2,0.5
JCRSITE,2,1,0.5
MPLUGINTESTING,24,12,0.5
MINIFICPP,2,1,0.5
OWC,2,1,0.5
RAMPART,18,9,0.5
SENTRY,10,5,0.5
SIRONA,2,1,0.5
TREQ,2,1,0.5
TILESSHARED,2,1,0.5
TRB,24,12,0.5
WOOKIE,2,1,0.5
XGC,10,5,0.5
XMLSCHEMA,2,1,0.5
DAFFODIL,814,404,0.496314496
LUCENE,2438,1200,0.492206727
AIRFLOW,422,207,0.490521327
ABDERA,82,40,0.487804878
VYSPER,41,20,0.487804878
CLIMATE,37,18,0.486486486
PHOENIX,783,380,0.485312899
ARIES,285,136,0.477192982
SQOOP,21,10,0.476190476
RANGER,87,41,0.471264368
COMPRESS,32,15,0.46875
WSRP4J,32,15,0.46875
RYA,47,22,0.468085106
AURORA,28,13,0.464285714
BROOKLYN,28,13,0.464285714
MAILBOX,50,23,0.46
COUCHDB,1261,580,0.459952419
UNOMI,33,15,0.454545455
SHINDIG,261,118,0.45210728
CLKE,9,4,0.444444444
MDOCCK,9,4,0.444444444
MSCMPUB,9,4,0.444444444
POLYGENE,63,28,0.444444444
METAMODEL,23,10,0.434782609
TOMEE,339,144,0.424778761
JDO,404,171,0.423267327
BOOKKEEPER,269,112,0.416356877
ATLAS,29,12,0.413793103
GUMP,54,22,0.407407407
ARROW,140,57,0.407142857
OOZIE,1271,510,0.401258851
AMBARI,5,2,0.4
OMID,15,6,0.4
EXLBR,15,6,0.4
UIMA,2412,961,0.398424544
SMX4KNL,91,36,0.395604396
GEARPUMP,8,3,0.375
GRFT,8,3,0.375
LIBCLOUD,143,53,0.370629371
HELIX,88,32,0.363636364
TWILL,14,5,0.357142857
DROIDS,20,7,0.35
TS,2529,856,0.338473705
OPENWIRE,3,1,0.333333333
WHIRR,3,1,0.333333333
BAHIR,24,8,0.333333333
IMAGING,6,2,0.333333333
FORTRESS,6,2,0.333333333
GIRAPH,6,2,0.333333333
PROTOCOLS,6,2,0.333333333
MRUNIT,3,1,0.333333333
NIFIREG,9,3,0.333333333
OAK,2644,851,0.321860817
EXEC,38,12,0.315789474
LENS,360,113,0.313888889
TST,16,5,0.3125
DIRKRB,75,23,0.306666667
ARIA,66,19,0.287878788
PROXY,7,2,0.285714286
ORC,158,45,0.284810127
WEEX,95,27,0.284210526
PARQUET,25,7,0.28
ACE,147,41,0.278911565
HIVEMALL,34,9,0.264705882
COMMONSSITE,23,6,0.260869565
PLC4X,4,1,0.25
PROVISIONR,4,1,0.25
CALCITE,1419,354,0.249471459
CLK,226,56,0.247787611
CSV,67,16,0.23880597
MAILET,21,5,0.238095238
TRAFODION,1815,413,0.227548209
SAMZA,77,17,0.220779221
OLIO,82,18,0.219512195
GRIFFIN,44,9,0.204545455
TEZ,1327,266,0.200452148
AVALON,5,1,0.2
JCI,50,10,0.2
JELLY,70,14,0.2
SANDBOX,35,7,0.2
TEPHRA,30,6,0.2
APEXCORE,202,39,0.193069307
OLTU,76,14,0.184210526
BEAM,641,111,0.173166927
DATAFU,29,5,0.172413793
FINERACT,243,41,0.16872428
FEEDPARSER,6,1,0.166666667
DDLUTILS,6,1,0.166666667
WSCOMMONS,12,2,0.166666667
STANBOL,325,52,0.16
DOXIATOOLS,19,3,0.157894737
JOSHUA,13,2,0.153846154
SPOT,26,4,0.153846154
HAWQ,508,74,0.145669291
AGILA,7,1,0.142857143
COR,7,1,0.142857143
HUPA,7,1,0.142857143
AXIOM,268,37,0.138059701
MYRIAD,60,8,0.133333333
GEODE,2511,327,0.130227001
PORTALS,8,1,0.125
LUCENENET,347,43,0.123919308
SCB,50,6,0.12
CELIX,214,22,0.102803738
SYSTEMML,445,42,0.094382022
USERGRID,230,21,0.091304348
CHUKWA,11,1,0.090909091
TOREE,222,20,0.09009009
EDGENT,92,7,0.076086957
SANDESHA2,14,1,0.071428571
NPANDAY,231,15,0.064935065
HARMONY,3137,199,0.063436404
MARCHETYPES,16,1,0.0625
STREAMS,148,8,0.054054054
REEF,59,3,0.050847458
APEXMALHAR,416,21,0.050480769
PIRK,25,1,0.04
WAVE,201,8,0.039800995
QPIDIT,27,1,0.037037037
WODEN,67,2,0.029850746
SERF,147,2,0.013605442
MADLIB,424,2,0.004716981
ASTERIXDB,1106,4,0.003616637
AAR,6,0,0
ACL,1,0,0
ADDR,2,0,0
ANAKIA,1,0,0
AWF,134,0,0
CHAINSAW,1,0,0
CMDA,1,0,0
GEOMETRY,1,0,0
COMMONSRDF,3,0,0
CRAIL,24,0,0
DLAB,97,0,0
GOBBLIN,1,0,0
HORN,1,0,0
INFRATEST1,1,0,0
NEMO,5,0,0
QUICKSTEP,16,0,0
RIPPLE,34,0,0
TRAINING,1,0,0
WHISKER,1,0,0
APACHECON,1,0,0
ATTIC,19,0,0
STUDIO,2,0,0
CENTRAL,5,0,0
PLANET,1,0,0
TOOLS,1,0,0
BLUESKY,1,0,0
CLEREZZA,176,0,0
BSF,2,0,0
DORMANT,10,0,0
FUNCTOR,1,0,0
NUMBERS,1,0,0
TRANSACTION,2,0,0
COMDEV,43,0,0
DTACLOUD,364,0,0
DIR,36,0,0
DIRNAMING,4,0,0
DL,4,0,0
FINCN,8,0,0
HDDS,1,0,0
HAMA,1,0,0
IMPERIUS,1,0,0
INCUBATOR,13,0,0
INFRA,3813,0,0
IOTA,1,0,0
MPT,7,0,0
POSTAGE,2,0,0
KITTY,3,0,0
MJDEPS,1,0,0
MNGSITE,176,0,0
OEP,5,0,0
HERMES,4,0,0
PYLUCENE,3,0,0
SANDESHA2C,21,0,0
SAVAN,2,0,0
SINGA,26,0,0
SLIDER,3,0,0
STEVE,1,0,0
STOMP,1,0,0
SB,6,0,0
SITE,1,0,0
SUPERSET,4,0,0
TASHI,2,0,0
TEXEN,1,0,0
AUTOTAG,13,0,0
TILESSB,1,0,0
TORQUEOLD,175,0,0
DIRTSEC,2,0,0
VELOCITYSB,4,0,0
VXQUERY,32,0,0
WHIMSY,11,0,0
APOLLO,5,0,0
ASFSITE,1,0,0
XAP,238,0,0
YETUS,2,0,0
ZETACOMP,9,0,0